queue_order,person_id,province,excel_row,name_normalized,source_federation_role,identity_resolution,candidate_names,current_organization,current_title,current_verification_status,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,unresolved_reason,research_notes
901,FC2515-P11-R0223,浙江,223,王世民,执委,CURRENT_ROLE_CONFIRMED_BY_LIVE_OFFICIAL_PROVINCIAL_LEADERSHIP_PAGE,王世民,浙江省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,浙江省工商业联合会（浙江省商会）商会领导,https://www.zjfic.org.cn/col/col1620079/index.html,2026-09-20,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0335 to sealed queue 756; person_id is preserved and not merged. Live official leadership page independently reconfirms the current provincial vice-chair role; no name-only employer inference is used.
902,FC2515-P11-R0225,浙江,225,王达武,执委,CURRENT_ROLE_CONFIRMED_BY_LIVE_OFFICIAL_PROVINCIAL_LEADERSHIP_PAGE,王达武,浙江省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,浙江省工商业联合会（浙江省商会）商会领导,https://www.zjfic.org.cn/col/col1620079/index.html,2026-09-20,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0344 to sealed queue 757; person_id is preserved and not merged. Live official leadership page independently reconfirms the current provincial vice-chair role; no name-only employer inference is used.
903,FC2515-P11-R0226,浙江,226,王克飞,执委,CURRENT_ROLE_CONFIRMED_BY_SEALED_CROSSLIST_CONTEXT,王克飞,西子清洁能源装备制造股份有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,enterprise_official,A,王克飞董事长荣获科创之星,https://www.xizice.com/news/831.html,2026-01-26,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0336 to sealed queue 758; person_id is preserved and not merged. Current-role evidence was already sealed for the same cross-listed identity in an immediately preceding Zhejiang gate and is reused without merging person_id; evidence remains 2026-current.
904,FC2515-P11-R0229,浙江,229,王建云,执委,CURRENT_ROLE_CONFIRMED_WITH_OFFICIAL_FEDERATION_CONTEXT_BRIDGE,王建云,中共宁波市委统一战线工作部 / 宁波市工商业联合会,副部长 / 党组书记,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,王建云：植根宁波实践 诠释新时代企业家精神,https://www.zjfic.org.cn/col/col1620074/art/2026/art_0c23cdd012554d2996bc665d052fa9c3.html,2026-01-30,,"Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0337 to sealed queue 759; person_id is preserved and not merged. Zhejiang federation official 2026 article directly identifies 王建云 as 宁波市委统战部副部长、市工商联党组书记, providing a federation-context current-role bridge rather than a name-only match."
905,FC2515-P11-R0230,浙江,230,王建沂,执委,CURRENT_ROLE_CONFIRMED_BY_SEALED_CROSSLIST_CONTEXT,王建沂,富通集团有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media,B,富通集团董事长王建沂相关公开材料,https://www.cwc.net.cn/tradeleads/show-8401.html,2026-03-11,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0338 to sealed queue 760; person_id is preserved and not merged. Current-role evidence was already sealed for the same cross-listed identity in an immediately preceding Zhejiang gate and is reused without merging person_id; evidence remains 2026-current.
906,FC2515-P11-R0231,浙江,231,王轶磊,执委,CURRENT_ROLE_CONFIRMED_BY_SEALED_CROSSLIST_CONTEXT,王轶磊,广宇集团股份有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,authoritative_media,B,广宇集团2026年投资者网上集体接待日通知,https://www.sohu.com/a/1019929094_115377,2026-05-08,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0343 to sealed queue 761; person_id is preserved and not merged. Current-role evidence was already sealed for the same cross-listed identity in an immediately preceding Zhejiang gate and is reused without merging person_id; evidence remains 2026-current.
907,FC2515-P11-R0233,浙江,233,王振滔,执委,CURRENT_ROLE_CONFIRMED_BY_LIVE_OFFICIAL_PROVINCIAL_LEADERSHIP_PAGE,王振滔,浙江省商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,浙江省工商业联合会（浙江省商会）商会领导,https://www.zjfic.org.cn/col/col1620079/index.html,2026-09-20,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0339 to sealed queue 762; person_id is preserved and not merged. Live official leadership page independently reconfirms the current chamber vice-chair role; no name-only employer inference is used.
908,FC2515-P11-R0238,浙江,238,王敏良,执委,CROSSLIST_IDENTITY_CURRENT_ROLE_UNRESOLVED,王敏良,,,UNRESOLVED_CURRENT_ORG_TITLE,targeted_public_current_verification,A,Zhejiang current-role targeted verification,https://static.cninfo.com.cn/finalpage/2026-04-29/1225230252.PDF,2026-09-20,王敏良 remains current-role unresolved: targeted 2026 research did not establish a sufficiently specific current organization/title with a safe identity bridge.,"Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0340 to sealed queue 763; person_id is preserved and not merged. Targeted current research was refreshed; same-name, stale, or weakly bridged hits are intentionally rejected. A 2026 listed-company filing supports a same-name 仙鹤股份 chairman/general-manager role, but no sufficiently specific provincial-federation-to-company identity bridge was established; the hit is not promoted."
909,FC2515-P11-R0240,浙江,240,王黎红,执委,CURRENT_ROLE_CONFIRMED_BY_LIVE_OFFICIAL_PROVINCIAL_LEADERSHIP_PAGE,王黎红,浙江省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,浙江省工商业联合会（浙江省商会）商会领导,https://www.zjfic.org.cn/col/col1620079/index.html,2026-09-20,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0345 to sealed queue 764; person_id is preserved and not merged. Live official leadership page independently reconfirms the current provincial vice-chair role; no name-only employer inference is used.
910,FC2515-P11-R0241,浙江,241,元成茂,执委,CURRENT_ROLE_REFRESHED_BY_LIVE_OFFICIAL_PROVINCIAL_LEADERSHIP_PAGE,元成茂,浙江省工商业联合会,党组成员、一级巡视员,CURRENT_ORG_TITLE_CONFIRMED,federation_official,A,浙江省工商业联合会（浙江省商会）商会领导,https://www.zjfic.org.cn/col/col1620079/index.html,2026-09-20,,Cross-listed Zhejiang source row safely linked through exact name + province + ambiguity_group_id ANG-0272 to sealed queue 765; person_id is preserved and not merged. Live official page now lists 元成茂 as 党组成员、一级巡视员; this supersedes the older vice-chair/chamber-vice-chair label for this touched row.
