queue_order	person_id	name_normalized	ambiguity_group_id	mode	prior_sealed_gate	prior_sealed_queue	decision	identity_anchor_url	bridge_url	evidence_url	note_code
2641	FC2515-P20-R0103	陈登科	ANG-1181	FRESH_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			FRESH_UNRESOLVED_NO_BRIDGE
2642	FC2515-P20-R0104	陈锦荣	ANG-1184	FRESH_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			FRESH_UNRESOLVED_NO_BRIDGE
2643	FC2515-P20-R0105	林胜	ANG-1143	REUSE_SEALED_CONFIRMED	W3-BATCH-0043	2547	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://tzb.hainanu.edu.cn/info/1010/5667.htm	REUSE_CONFIRMED
2644	FC2515-P20-R0106	林峰	ANG-1140	REUSE_SEALED_CONFIRMED	W3-BATCH-0043	2549	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://finance.sina.com.cn/wm/2026-05-23/doc-inhyvtiv7198440.shtml	REUSE_CONFIRMED
2645	FC2515-P20-R0107	林鹏	ANG-1145	REUSE_SEALED_CONFIRMED	W3-BATCH-0044	2581	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://static.nfnews.com/content/202601/28/c12119614.html	REUSE_CONFIRMED
2646	FC2515-P20-R0108	林明宁	ANG-1142	FRESH_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html	https://tzb.sanya.gov.cn/tzbsite/fgjj/202605/d841a8115a754b548a04bd9360edffd7.shtml	https://tzb.sanya.gov.cn/tzbsite/fgjj/202605/d841a8115a754b548a04bd9360edffd7.shtml	FRESH_CONFIRMED
2647	FC2515-P20-R0109	林忠强	ANG-1141	FRESH_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			FRESH_UNRESOLVED_NO_BRIDGE
2648	FC2515-P20-R0110	林钦存	ANG-1144	FRESH_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			FRESH_UNRESOLVED_NO_BRIDGE
2649	FC2515-P20-R0111	周勤富	ANG-1113	FRESH_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html	https://www.acfic.org.cn/bhjj/zzjg/zssh/qggslscysh_701/shbz/202506/t20250611_236868.html	https://finance.sina.com.cn/jjxw/2026-01-31/doc-inhkexuh9681069.shtml	FRESH_CONFIRMED
2650	FC2515-P20-R0112	赵树华	ANG-1167	REUSE_SEALED_UNRESOLVED	W3-BATCH-0043	2572	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2651	FC2515-P20-R0113	胡祥	ANG-1162	REUSE_SEALED_UNRESOLVED	W3-BATCH-0043	2566	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2652	FC2515-P20-R0114	钟宇光	ANG-1176	FRESH_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html	https://www.acfic.org.cn/bhjj/zzjg/zssh/qlnycysh/shbz/202506/t20250611_237127.html	https://www.cppcc.gov.cn/dfzx/202608/t20260813_906399.html	FRESH_CONFIRMED
2653	FC2515-P20-R0115	钟丽萍	ANG-1175	FRESH_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			FRESH_UNRESOLVED_NO_BRIDGE
2654	FC2515-P20-R0116	桂金德	ANG-1146	REUSE_SEALED_UNRESOLVED	W3-BATCH-0043	2573	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
