queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
481,FC2515-P10-R0118,江苏,118,李海斌,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李海斌,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
482,FC2515-P10-R0119,江苏,119,李焕军,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李焕军,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
483,FC2515-P10-R0120,江苏,120,李瑞华,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李瑞华,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
484,FC2515-P10-R0121,江苏,121,杨永岗,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,杨永岗,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
485,FC2515-P10-R0122,江苏,122,肖伟,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,肖伟,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,
486,FC2515-P10-R0123,江苏,123,吴强,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴强,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
487,FC2515-P10-R0124,江苏,124,吴毅,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴毅,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
488,FC2515-P10-R0125,江苏,125,吴芸,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴芸,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
489,FC2515-P10-R0126,江苏,126,吴卫东,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴卫东,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会 / 江苏省总商会,副主席 / 副会长（兼）,CURRENT_ORG_TITLE_CONFIRMED,
490,FC2515-P10-R0127,江苏,127,吴亚军,常委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴亚军,Name + 江苏 source scope + federation role reconcile to the official Sep-2026 Jiangsu standing-committee roster. Current higher roles supersede stale source labels; no identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
