queue_order	person_id	name_normalized	ambiguity_group_id	mode	prior_sealed_gate	prior_sealed_queue	decision	identity_anchor_url	bridge_url	evidence_url	note_code
2761	FC2515-P20-R0385	符江	ANG-1160	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2666	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2762	FC2515-P20-R0387	符曜	ANG-1159	REUSE_SEALED_CONFIRMED	W3-BATCH-0045	2667	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://finance.sina.com.cn/wm/2026-07-10/doc-inihhvke3955043.shtml	REUSE_CONFIRMED_NO_NEW_CLAIM
2763	FC2515-P20-R0388	符英研	ANG-1161	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2668	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2764	FC2515-P20-R0391	梁小喜	ANG-1147	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2669	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2765	FC2515-P20-R0394	董平	ANG-1163	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2670	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2766	FC2515-P20-R0397	韩电	ANG-1187	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2671	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2767	FC2515-P20-R0410	蔡亲旭	ANG-1164	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2672	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2768	FC2515-P20-R0414	廖虹宇	ANG-1118	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2673	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2769	FC2515-P20-R0415	谭辉	ANG-1166	REUSE_SEALED_CONFIRMED	W3-BATCH-0045	2674	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://finance.sina.com.cn/wm/2026-05-16/doc-inhyankm2703181.shtml	REUSE_CONFIRMED_NO_NEW_CLAIM
2770	FC2515-P20-R0418	潘永强	ANG-1150	REUSE_SEALED_UNRESOLVED	W3-BATCH-0045	2675	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html			REUSE_UNRESOLVED
2771	FC2515-P20-R0420	戴扬	ANG-1126	REUSE_SEALED_CONFIRMED	W3-BATCH-0045	2676	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_hi/202207/t20220715_312760.html		https://finance.sina.com.cn/roll/2026-08-04/doc-inimcatv5503346.shtml	REUSE_CONFIRMED_NO_NEW_CLAIM
2772	FC2515-P21-R0002	唐燕	ANG-1218	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_sc/202208/t20220830_312931.html	https://sc.cnr.cn/scpd/jdt/20260307/t20260307_527545560.shtml	https://sc.cnr.cn/scpd/jdt/20260307/t20260307_527545560.shtml	BRIDGED_CURRENT_ORG_TITLE_CONFIRMED
2773	FC2515-P21-R0003	唐强	ANG-1216	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_sc/202208/t20220830_312931.html			NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2774	FC2515-P21-R0005	孙宁	ANG-1222	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_sc/202208/t20220830_312931.html	https://cbgc.scol.com.cn/news/7494255	https://cbgc.scol.com.cn/news/7494255	BRIDGED_CURRENT_ORG_TITLE_CONFIRMED
2775	FC2515-P21-R0006	胡景寿	ANG-1295	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_sc/202208/t20220830_312931.html			NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2776	FC2515-P21-R0007	郑宗强	ANG-1317	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_sc/202208/t20220830_312931.html	https://cbgc.scol.com.cn/news/7494255	https://cbgc.scol.com.cn/news/7494255	BRIDGED_CURRENT_ORG_TITLE_CONFIRMED
