queue_order,person_id,province,excel_row,identity_resolution,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
2821,FC2515-P21-R0056,四川,56,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1194,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_COMPANY_HIT_UNBRIDGED_TO_SOURCE_IDENTITY
2822,FC2515-P21-R0057,四川,57,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1342,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2823,FC2515-P21-R0058,四川,58,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1343,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2824,FC2515-P21-R0059,四川,59,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1344,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2825,FC2515-P21-R0060,四川,60,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1286,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2826,FC2515-P21-R0061,四川,61,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1287,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2827,FC2515-P21-R0062,四川,62,REUSED_SEALED_EVIDENCE_U:0047:2804:ANG-1281,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,PRIOR_SEALED_UNRESOLVED:0047:q2804
2828,FC2515-P21-R0063,四川,63,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1285,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2829,FC2515-P21-R0064,四川,64,REUSED_SEALED_EVIDENCE_U:0047:2817:ANG-1283,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,PRIOR_SEALED_UNRESOLVED:0047:q2817
2830,FC2515-P21-R0065,四川,65,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1282,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2831,FC2515-P21-R0066,四川,66,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1284,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2832,FC2515-P21-R0067,四川,67,REUSED_SEALED_EVIDENCE_U:0047:2816:ANG-1288,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,PRIOR_SEALED_UNRESOLVED:0047:q2816
2833,FC2515-P21-R0068,四川,68,FRESH_BRIDGED_EVIDENCE:ANG-1273,四川省工商联财税金融服务中心,主任,CURRENT_ORG_TITLE_CONFIRMED,B,https://www.nbd.com.cn/articles/2026-06-26/4438728.html,
2834,FC2515-P21-R0069,四川,69,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1244,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,STALE_IDENTITY_BRIDGE_NO_CURRENT_2026_ORG_TITLE
2835,FC2515-P21-R0070,四川,70,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1243,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2836,FC2515-P21-R0071,四川,71,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1315,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2837,FC2515-P21-R0072,四川,72,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1314,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,SAME_NAME_CURRENT_PUBLIC_ROLE_HIT_UNBRIDGED_TO_SOURCE_IDENTITY
2838,FC2515-P21-R0073,四川,73,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1290,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_COMPANY_HIT_UNBRIDGED_TO_SOURCE_IDENTITY
2839,FC2515-P21-R0074,四川,74,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1352,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
2840,FC2515-P21-R0075,四川,75,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1220,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_ORG_TITLE_EVIDENCE
