queue_order	person_id	name_normalized	ambiguity_group_id	mode	source_gate	source_queue_order	decision	identity_anchor_url	research_url	evidence_url	research_note
3121	FC2515-P22-R0010	罗鹏	ANG-1362	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.nbd.com.cn/articles/2025-10-23/4103864.html		BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3122	FC2515-P22-R0011	张雷	ANG-1355	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3123	FC2515-P22-R0012	张春新	ANG-1354	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			2026_ROLE_TRANSITION_NO_DETERMINISTIC_CURRENT_ORG_TITLE
3124	FC2515-P22-R0032	韦庆银	ANG-1365	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm	https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm	CURRENT_2026_GOVERNMENT_SOURCE_CONFIRMATION
3125	FC2515-P22-R0034	李汉宇	ANG-1357	REUSE_SEALED_CONFIRMED	W3-BATCH-0052	3115	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.globalgase.com/4/2/2231361	https://www.globalgase.com/4/2/2231361	REUSE_CONFIRMED
3126	FC2515-P22-R0035	李岳德	ANG-1356	REUSE_SEALED_UNRESOLVED	W3-BATCH-0052	3116	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			REUSE_UNRESOLVED
3127	FC2515-P22-R0037	谭亦先	ANG-1363	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3128	FC2515-P22-R0038	潘晓燕	ANG-1360	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3129	FC2515-P22-R0039	杨从明	ANG-1358	REUSE_SEALED_CONFIRMED	W3-BATCH-0052	3117	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://gz.people.com.cn/n2/2026/0824/c372082-41676237.html	https://gz.people.com.cn/n2/2026/0824/c372082-41676237.html	REUSE_CONFIRMED
3130	FC2515-P22-R0040	陈广臣	ANG-1364	REUSE_SEALED_CONFIRMED	W3-BATCH-0052	3118	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.sohu.com/a/1027956651_121106902	https://www.sohu.com/a/1027956651_121106902	REUSE_CONFIRMED
3131	FC2515-P22-R0041	韦庆银	ANG-1365	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm	https://jeju.china-consulate.gov.cn/lqdt/202604/t20260422_11897201.htm	CURRENT_2026_GOVERNMENT_SOURCE_CONFIRMATION
3132	FC2515-P22-R0042	王伟	ANG-1361	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3133	FC2515-P22-R0047	龚淮平	ANG-1366	REUSE_SEALED_UNRESOLVED	W3-BATCH-0052	3119	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			REUSE_UNRESOLVED
3134	FC2515-P22-R0048	王伟	ANG-1361	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3135	FC2515-P22-R0051	杨兴荣	ANG-1359	REUSE_SEALED_CONFIRMED	W3-BATCH-0052	3120	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.yicai.com/news/103365472.html	https://www.yicai.com/news/103365472.html	REUSE_CONFIRMED
3136	FC2515-P22-R0054	罗鹏	ANG-1362	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.nbd.com.cn/articles/2025-10-23/4103864.html		BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3137	FC2515-P22-R0056	李汉宇	ANG-1357	REUSE_SEALED_CONFIRMED	W3-BATCH-0052	3115	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_gz/202209/t20220901_312934.html	https://www.globalgase.com/4/2/2231361	https://www.globalgase.com/4/2/2231361	REUSE_CONFIRMED
