queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
661,FC2515-P10-R0460,江苏,460,秦玉锦,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,秦玉锦,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
662,FC2515-P10-R0462,江苏,462,袁永刚,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,袁永刚,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
663,FC2515-P10-R0469,江苏,469,顾万峰,执委,CURRENT_ROLE_CONFIRMED_WITH_ROLE_HISTORY_BRIDGE,顾万峰,Historical Jiangsu United Front evidence anchors 顾万峰 as the former 省委统战部副部长、省工商联党组书记; Sep-2026 official evidence identifies the same person as 省委统战部常务副部长. The stale federation title is not carried forward. Historical bridge: https://www.jstz.gov.cn/a/20230209/167592865682.shtml,government_official,A,省委统战部召开部务会（扩大）会议暨理论学习中心组学习会,https://www.jstz.gov.cn/a/20260909/1788956713411.shtml,2026-09-09,中共江苏省委统战部,常务副部长,CURRENT_ORG_TITLE_CONFIRMED,
664,FC2515-P10-R0470,江苏,470,顾明华,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,顾明华,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
665,FC2515-P10-R0473,江苏,473,钱京,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,钱京,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
666,FC2515-P10-R0477,江苏,477,钱晓春,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,钱晓春,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
667,FC2515-P10-R0481,江苏,481,徐翔,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,徐翔,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,
668,FC2515-P10-R0483,江苏,483,徐云飞,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,徐云飞,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
669,FC2515-P10-R0484,江苏,484,徐志军,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,徐志军,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会 / 江苏省总商会,副主席 / 副会长（兼）,CURRENT_ORG_TITLE_CONFIRMED,
670,FC2515-P10-R0487,江苏,487,徐浩宇,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,徐浩宇,Name + Jiangsu source scope + federation-role history reconcile to the live Sep-2026 official standing roster. Current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
