queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
1,FC2515-P11-R0123,浙江,123,陈,常委,FRAGMENT_HEAD,陈频,row123+row124,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
2,FC2515-P11-R0124,浙江,124,频,常委,FRAGMENT_TAIL,陈频,row123+row124,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
3,FC2515-P11-R0125,浙江,125,陈,常委,FRAGMENT_HEAD,陈滨,row125+row126,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
4,FC2515-P11-R0126,浙江,126,滨,常委,FRAGMENT_TAIL,陈滨,row125+row126,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
5,FC2515-P11-R0176,浙江,176,殷,常委,FRAGMENT_HEAD,殷英,row176+row177,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
6,FC2515-P11-R0177,浙江,177,英,常委,FRAGMENT_TAIL,殷英,row176+row177,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
7,FC2515-P11-R0214,浙江,214,丰,执委,SHIFT_FRAGMENT,丰华,row214 + prefix(row215=华王),federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
8,FC2515-P11-R0216,浙江,216,雨,执委,SHIFT_FRAGMENT,王雨,suffix(row215=华王) + row216,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
9,FC2515-P11-R0219,浙江,219,王,执委,FRAGMENT_HEAD,王勤,row219+row220,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
10,FC2515-P11-R0220,浙江,220,勤,执委,FRAGMENT_TAIL,王勤,row219+row220,federation_official,A,浙江省工商业联合会第十二届执行委员会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,2022-09-19,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
