queue_order,person_id,province,excel_row,identity_resolution,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
3301,FC2515-P23-R0158,云南,158,REUSED_SEALED_EVIDENCE_U:0053:3159:ANG-1399,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3302,FC2515-P23-R0159,云南,159,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1400,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_2026_BALA_GEZONG_FOUNDER_HIT_WITHOUT_SAFE_FEDERATION_IDENTITY_BRIDGE
3303,FC2515-P23-R0160,云南,160,REUSED_SEALED_EVIDENCE_U:0053:3151:ANG-1454,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_COMPANY_HIT_WITHOUT_SAFE_PROVINCE_FEDERATION_IDENTITY_BRIDGE
3304,FC2515-P23-R0161,云南,161,FRESH_BRIDGED_EVIDENCE:ANG-1455,云南和成集团,董事长,CURRENT_ORG_TITLE_CONFIRMED,B,https://travel.hebccw.cn/system/2026/06/12/102192764.shtml,
3305,FC2515-P23-R0162,云南,162,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1405,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,HISTORICAL_2023_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3306,FC2515-P23-R0163,云南,163,FRESH_BRIDGED_EVIDENCE:ANG-1384,云南省工商业联合会,党组成员,CURRENT_ORG_TITLE_CONFIRMED,B,https://www.ynshlm.com/wzdetail/12265,
3307,FC2515-P23-R0164,云南,164,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1447,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3308,FC2515-P23-R0165,云南,165,REUSED_SEALED_EVIDENCE_C:0054:3186:ANG-1407,云南大益茶业集团有限公司,轮值总裁,CURRENT_ORG_TITLE_CONFIRMED,B,https://yn.people.com.cn/n2/2026/0529/c372455-41595636.html,
3309,FC2515-P23-R0166,云南,166,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1436,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3310,FC2515-P23-R0167,云南,167,REUSED_SEALED_EVIDENCE_U:0054:3195:ANG-1459,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3311,FC2515-P23-R0168,云南,168,REUSED_SEALED_EVIDENCE_C:0054:3183:ANG-1456,云南省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3312,FC2515-P23-R0169,云南,169,REUSED_SEALED_EVIDENCE_U:0053:3160:ANG-1457,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3313,FC2515-P23-R0170,云南,170,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1390,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3314,FC2515-P23-R0171,云南,171,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1460,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,SAME_NAME_CROSS_PROVINCE_HIT_REJECTED_NO_SAFE_IDENTITY_BRIDGE
3315,FC2515-P23-R0172,云南,172,REUSED_SEALED_EVIDENCE_C:0053:3169:ANG-1437,云南省工商业联合会,党组书记,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3316,FC2515-P23-R0173,云南,173,FRESH_IDENTITY_ANCHOR_UNRESOLVED:ANG-1484,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3317,FC2515-P23-R0181,云南,181,REUSED_SEALED_EVIDENCE_U:0054:3197:ANG-1480,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3318,FC2515-P23-R0183,云南,183,REUSED_SEALED_EVIDENCE_U:0054:3198:ANG-1481,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3319,FC2515-P23-R0185,云南,185,REUSED_SEALED_EVIDENCE_U:0054:3199:ANG-1445,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3320,FC2515-P23-R0192,云南,192,REUSED_SEALED_EVIDENCE_C:0054:3200:ANG-1439,云南省工商业联合会（总商会）,企业家副主席（副会长）,CURRENT_ORG_TITLE_CONFIRMED,B,https://finance.sina.com.cn/wm/2026-08-24/doc-inipkriy6261620.shtml,
3321,FC2515-P23-R0193,云南,193,REUSED_SEALED_EVIDENCE_U:0054:3201:ANG-1444,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3322,FC2515-P23-R0195,云南,195,REUSED_SEALED_EVIDENCE_U:0054:3202:ANG-1442,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,SAME_NAME_HIGH_AMBIGUITY_NO_SUFFICIENT_BRIDGED_CURRENT_2026_EVIDENCE
3323,FC2515-P23-R0196,云南,196,REUSED_SEALED_EVIDENCE_C:0054:3203:ANG-1440,昆明温州总商会,会长,CURRENT_ORG_TITLE_CONFIRMED,A,https://kmwzzsh.cn/wzdetail/12899,
3324,FC2515-P23-R0197,云南,197,REUSED_SEALED_EVIDENCE_U:0054:3204:ANG-1441,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_ASSOCIATION_HIT_WITHOUT_SAFE_SOURCE_PERSON_IDENTITY_BRIDGE
3325,FC2515-P23-R0202,云南,202,REUSED_SEALED_EVIDENCE_U:0054:3205:ANG-1443,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,SAME_NAME_HIGH_AMBIGUITY_NO_SUFFICIENT_BRIDGED_CURRENT_2026_EVIDENCE
3326,FC2515-P23-R0212,云南,212,REUSED_SEALED_EVIDENCE_C:0054:3206:ANG-1386,云南省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3327,FC2515-P23-R0215,云南,215,REUSED_SEALED_EVIDENCE_U:0054:3207:ANG-1464,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3328,FC2515-P23-R0216,云南,216,REUSED_SEALED_EVIDENCE_U:0054:3208:ANG-1465,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3329,FC2515-P23-R0220,云南,220,REUSED_SEALED_EVIDENCE_U:0054:3209:ANG-1374,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3330,FC2515-P23-R0225,云南,225,REUSED_SEALED_EVIDENCE_U:0054:3210:ANG-1486,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3331,FC2515-P23-R0233,云南,233,REUSED_SEALED_EVIDENCE_U:0054:3211:ANG-1371,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3332,FC2515-P23-R0234,云南,234,REUSED_SEALED_EVIDENCE_U:0054:3212:ANG-1466,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3333,FC2515-P23-R0239,云南,239,REUSED_SEALED_EVIDENCE_U:0054:3213:ANG-1408,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3334,FC2515-P23-R0246,云南,246,REUSED_SEALED_EVIDENCE_C:0054:3214:ANG-1388,云南省工商业联合会（总商会）,企业家副主席（副会长）,CURRENT_ORG_TITLE_CONFIRMED,B,https://finance.sina.com.cn/wm/2026-08-24/doc-inipkriy6261620.shtml,
3335,FC2515-P23-R0250,云南,250,REUSED_SEALED_EVIDENCE_U:0054:3215:ANG-1373,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_COMPANY_HIT_WITHOUT_SAFE_PROVINCE_FEDERATION_IDENTITY_BRIDGE
3336,FC2515-P23-R0252,云南,252,REUSED_SEALED_EVIDENCE_C:0054:3216:ANG-1372,云南省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3337,FC2515-P23-R0255,云南,255,REUSED_SEALED_EVIDENCE_C:0054:3217:ANG-1474,云南省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3338,FC2515-P23-R0258,云南,258,REUSED_SEALED_EVIDENCE_C:0054:3218:ANG-1438,云南省工商业联合会,副主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://yfao.yn.gov.cn/wsdt/jlhz/202607/t20260710_3198673.html,
3339,FC2515-P23-R0264,云南,264,REUSED_SEALED_EVIDENCE_U:0054:3219:ANG-1409,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,SAME_NAME_HIGH_AMBIGUITY_NO_SUFFICIENT_BRIDGED_CURRENT_2026_EVIDENCE
3340,FC2515-P23-R0265,云南,265,REUSED_SEALED_EVIDENCE_U:0054:3220:ANG-1418,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_LOCAL_FEDERATION_HIT_WITHOUT_SAFE_SOURCE_PERSON_IDENTITY_BRIDGE
3341,FC2515-P23-R0267,云南,267,REUSED_SEALED_EVIDENCE_U:0054:3221:ANG-1410,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3342,FC2515-P23-R0269,云南,269,REUSED_SEALED_EVIDENCE_C:0054:3222:ANG-1419,云南省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.dszh.org.cn/4/31291/2211860,
3343,FC2515-P23-R0270,云南,270,REUSED_SEALED_EVIDENCE_U:0054:3223:ANG-1417,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3344,FC2515-P23-R0275,云南,275,REUSED_SEALED_EVIDENCE_U:0054:3224:ANG-1411,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3345,FC2515-P23-R0276,云南,276,REUSED_SEALED_EVIDENCE_U:0054:3225:ANG-1420,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
