queue_order	person_id	name_normalized	ambiguity_group_id	mode	source_gate	source_queue_order	decision	identity_anchor_url	research_url	evidence_url	research_note
3301	FC2515-P23-R0158	彭金国	ANG-1399	REUSE_SEALED_UNRESOLVED	W3-BATCH-0053	3159	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3302	FC2515-P23-R0159	斯那定珠	ANG-1400	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://yn.people.com.cn/n2/2026/0311/c372453-41521073.html		CURRENT_2026_BALA_GEZONG_FOUNDER_HIT_WITHOUT_SAFE_FEDERATION_IDENTITY_BRIDGE
3303	FC2515-P23-R0160	董林	ANG-1454	REUSE_SEALED_UNRESOLVED	W3-BATCH-0053	3151	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			CURRENT_COMPANY_HIT_WITHOUT_SAFE_PROVINCE_FEDERATION_IDENTITY_BRIDGE
3304	FC2515-P23-R0161	董胜	ANG-1455	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://www.sohu.com/a/940262206_121627674	https://travel.hebccw.cn/system/2026/06/12/102192764.shtml	CURRENT_2026_COMPANY_CHAIRMAN_CONFIRMED_AFTER_2025_YUNNAN_FEDERATION_DELEGATION_BRIDGE; 2026-07_ASSOCIATION_SUCCESSION_NOT_CARRIED_AS_CURRENT_TITLE=https://yn.yunnan.cn/system/2026/07/20/034089951.shtml
3305	FC2515-P23-R0162	景利果	ANG-1405	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://www.yuhong.com.cn/Media/Company/2023/1101/11845.html		HISTORICAL_2023_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3306	FC2515-P23-R0163	喻科	ANG-1384	FRESH_WEB_RESEARCH			CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://www.ynshlm.com/wzdetail/12265	https://www.ynshlm.com/wzdetail/12265	CURRENT_2026_YUNNAN_FEDERATION_CONTEXT_CONFIRMATION
3307	FC2515-P23-R0164	童钧	ANG-1447	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://www.yn.gov.cn/ywdt/zsdt/202506/t20250612_314186.html		BRIDGED_2025_COMPANY_ROLE_NOT_CURRENT_2026_ENOUGH
3308	FC2515-P23-R0165	曾新生	ANG-1407	REUSE_SEALED_CONFIRMED	W3-BATCH-0054	3186	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://yn.people.com.cn/n2/2026/0529/c372455-41595636.html	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3309	FC2515-P23-R0166	温仕红	ANG-1436	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3310	FC2515-P23-R0167	谢树枝	ANG-1459	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3195	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3311	FC2515-P23-R0168	蓝波	ANG-1456	REUSE_SEALED_CONFIRMED	W3-BATCH-0054	3183	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://www.dszh.org.cn/4/31291/2211860	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3312	FC2515-P23-R0169	蔡俊丰	ANG-1457	REUSE_SEALED_UNRESOLVED	W3-BATCH-0053	3160	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3313	FC2515-P23-R0170	廖兴巧	ANG-1390	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3314	FC2515-P23-R0171	谭金花	ANG-1460	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html	https://www.sohu.com/a/1015315455_121106875		SAME_NAME_CROSS_PROVINCE_HIT_REJECTED_NO_SAFE_IDENTITY_BRIDGE
3315	FC2515-P23-R0172	潘红伟	ANG-1437	REUSE_SEALED_CONFIRMED	W3-BATCH-0053	3169	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://www.dszh.org.cn/4/31291/2211860	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3316	FC2515-P23-R0173	魏江腾	ANG-1484	FRESH_WEB_RESEARCH			UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3317	FC2515-P23-R0181	马利兴	ANG-1480	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3197	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3318	FC2515-P23-R0183	马柱宽	ANG-1481	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3198	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3319	FC2515-P23-R0185	王飞	ANG-1445	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3199	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3320	FC2515-P23-R0192	王军定	ANG-1439	REUSE_SEALED_CONFIRMED	W3-BATCH-0054	3200	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://finance.sina.com.cn/wm/2026-08-24/doc-inipkriy6261620.shtml	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3321	FC2515-P23-R0193	王迅	ANG-1444	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3201	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3322	FC2515-P23-R0195	王杰	ANG-1442	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3202	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			SAME_NAME_HIGH_AMBIGUITY_NO_SUFFICIENT_BRIDGED_CURRENT_2026_EVIDENCE
3323	FC2515-P23-R0196	王国新	ANG-1440	REUSE_SEALED_CONFIRMED	W3-BATCH-0054	3203	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://kmwzzsh.cn/wzdetail/12899	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3324	FC2515-P23-R0197	王忠武	ANG-1441	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3204	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			CURRENT_ASSOCIATION_HIT_WITHOUT_SAFE_SOURCE_PERSON_IDENTITY_BRIDGE
3325	FC2515-P23-R0202	王萍	ANG-1443	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3205	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			SAME_NAME_HIGH_AMBIGUITY_NO_SUFFICIENT_BRIDGED_CURRENT_2026_EVIDENCE
3326	FC2515-P23-R0212	孔令涌	ANG-1386	REUSE_SEALED_CONFIRMED	W3-BATCH-0054	3206	CONFIRMED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html		https://www.dszh.org.cn/4/31291/2211860	EXACT_AMBIGUITY_GROUP_PROVINCE_NAME_REUSE_OF_SEALED_PASS
3327	FC2515-P23-R0215	邓建平	ANG-1464	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3207	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3328	FC2515-P23-R0216	邓恒源	ANG-1465	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3208	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3329	FC2515-P23-R0220	古仁友	ANG-1374	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3209	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3330	FC2515-P23-R0225	龙江	ANG-1486	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3210	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
3331	FC2515-P23-R0233	冯兆昌	ANG-1371	REUSE_SEALED_UNRESOLVED	W3-BATCH-0054	3211	UNRESOLVED	https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_yn/202309/t20230914_316462.html			NO_SUFFICIENT_BRIDGED_CURRENT_2026_ORG_TITLE_EVIDENCE
