queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
241,FC2515-P05-R0120,河北,120,丁圣沧,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,丁圣沧,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
242,FC2515-P05-R0121,河北,121,于树中,执委,CURRENT_ROLE_REUSED_WITH_OFFICIAL_ROSTER_CROSSLIST,于树中,Same 河北 person is cross-listed in the official provincial federation roster under the earlier role and 执委; reused sealed current-role evidence from W3 queue 132 without merging person_ids. ACFIC explicitly identifies 于树中 as 河北省工商联副主席 and enterprise chairman.,federation_official,A,河北省工商联聚焦提振发展信心、推动政策落实听取企业家意见建议,https://www.acfic.org.cn/ztzlhz/myqyzth2025/myqyzth2025_xxgc/202502/t20250228_313701.html,2025-02-28,河北叁陆伍网络科技集团有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,
243,FC2515-P05-R0123,河北,123,马兵,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,马兵,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
244,FC2515-P05-R0127,河北,127,马忠华,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,马忠华,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
245,FC2515-P05-R0133,河北,133,王勇,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,王勇,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
246,FC2515-P05-R0135,河北,135,王力崇,执委,CURRENT_ENTERPRISE_ROLE_IDENTIFIED,王力崇,Official Hebei federation roster anchors 王力崇 as the Hebei executive member; the enterprise official page identifies the same uncommon-name person as current group chairman.,enterprise_official,A,复盘耕耘路 聚力启新程 | 河北省互感器技术创新中心2026年度会议圆满召开,https://www.snkgroup.cn/news/detail/70,2026-07-11,申科科技集团有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,
247,FC2515-P05-R0136,河北,136,王大玮,执委,CURRENT_PUBLIC_ROLE_IDENTIFIED,王大玮,Hebei federation roster anchors 王大玮 in the province; the provincial policy publicity platform explicitly identifies his current SASAC role and planning-department post.,authoritative_media,B,省政府新闻办“‘十四五’高质量发展河北答卷”系列主题新闻发布会 河北省人民政府国有资产监督管理委员会专场文字实录,https://hebfb.hebccw.cn/system/2025/11/12/102122445.shtml,2025-11-12,河北省人民政府国有资产监督管理委员会,二级巡视员、规划处处长,CURRENT_ORG_TITLE_CONFIRMED,
248,FC2515-P05-R0138,河北,138,王子峥,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,王子峥,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
249,FC2515-P05-R0141,河北,141,王冰玉,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,王冰玉,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
250,FC2515-P05-R0142,河北,142,王志民,执委,IDENTITY_ONLY_OFFICIAL_ROSTER,王志民,Identity retained from official Hebei federation roster; current organization/title intentionally left unresolved.,federation_official,A,河北省工商业联合会(总商会)第十三届执委会名单,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_he/202207/t20220715_312762.html,2022-07-15,,,UNRESOLVED_CURRENT_ORG_TITLE,"Official Hebei federation roster confirms this source identity/role, but this batch did not find sufficiently current and specific public evidence to assign a current organization/title without risking a name-only match."
