queue_order,person_id,province,excel_row,identity_resolution,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
4201,FC2515-P28-R0245,广西,245,REUSED_SEALED_EVIDENCE_U:0068:4122:ANG-1779,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,OFFICIAL_2023_GUANGXI_IDENTITY_ANCHOR_BUT_NO_SUFFICIENT_CURRENT_2026_BRIDGED_ORG_TITLE_EVIDENCE
4202,FC2515-P28-R0247,广西,247,REUSED_SEALED_EVIDENCE_C:0069:4091:ANG-1788,梧州市工商业联合会,主席,CURRENT_ORG_TITLE_CONFIRMED,B,https://www.chinanews.com/gn/2026/02-04/10565925.shtml,
4203,FC2515-P28-R0251,广西,251,REUSED_SEALED_EVIDENCE_C:0069:4134:ANG-1759,深圳市锦绣前程人才服务集团有限公司,董事长,CURRENT_ORG_TITLE_CONFIRMED,B,https://www.chinanews.com/cj/2026/03-09/10583901.shtml,
4204,FC2515-P28-R0255,广西,255,REUSED_SEALED_EVIDENCE_U:0069:4123:ANG-1758,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,OFFICIAL_2023_GUANGXI_IDENTITY_ANCHOR_BUT_NO_SUFFICIENT_CURRENT_2026_BRIDGED_ORG_TITLE_EVIDENCE
4205,FC2515-P28-R0260,广西,260,REUSED_SEALED_EVIDENCE_C:0069:4112:ANG-1797,崇左市工商业联合会,党组书记,CURRENT_ORG_TITLE_CONFIRMED,B,https://finance.sina.com.cn/wm/2026-05-23/doc-inhywcxs5487324.shtml,
4206,FC2515-P28-R0261,广西,261,REUSED_SEALED_EVIDENCE_U:0069:4124:ANG-1784,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,OFFICIAL_2023_GUANGXI_IDENTITY_ANCHOR_BUT_NO_SUFFICIENT_CURRENT_2026_BRIDGED_ORG_TITLE_EVIDENCE
4207,FC2515-P28-R0262,广西,262,REUSED_SEALED_EVIDENCE_U:0069:4135:ANG-1765,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,OFFICIAL_2023_GUANGXI_IDENTITY_ANCHOR_BUT_NO_SUFFICIENT_CURRENT_2026_BRIDGED_ORG_TITLE_EVIDENCE
4208,FC2515-P28-R0264,广西,264,REUSED_SEALED_EVIDENCE_U:0069:4100:ANG-1783,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,OFFICIAL_2023_GUANGXI_IDENTITY_ANCHOR_BUT_NO_SUFFICIENT_CURRENT_2026_BRIDGED_ORG_TITLE_EVIDENCE
4209,FC2515-P28-R0271,广西,271,REUSED_SEALED_EVIDENCE_C:0069:4087:ANG-1802,柳州市工商业联合会,主席,CURRENT_ORG_TITLE_CONFIRMED,A,https://www.lztz.gov.cn/gzsx/202604/t20260427_3745336.html,
4210,FC2515-P28-R0273,广西,273,REUSED_SEALED_EVIDENCE_U:0069:4092:ANG-1801,,,UNRESOLVED_CURRENT_ORG_TITLE,A,,CURRENT_2026_WUZHOU_TRADE_UNION_ROLE_HIT_WITHOUT_SAFE_SOURCE_PERSON_IDENTITY_BRIDGE
