queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
601,FC2515-P10-R0294,江苏,294,许岗,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,许岗,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
602,FC2515-P10-R0297,江苏,297,孙力斌,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,孙力斌,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
603,FC2515-P10-R0299,江苏,299,孙振东,执委,HISTORICAL_SOURCE_IDENTITY_CURRENT_ROLE_UNRESOLVED,孙振东,"Checked the current Jul-2026 Jiangsu executive roster, the current Sep-2026 standing roster, repository duplicate/ambiguity state, and targeted fresh public evidence. No name-only employer/title assignment was permitted.",federation_official,A,江苏省工商业联合会第十二届执行委员会委员名单（2026年7月，共计338名）,https://www.jssh.org.cn/zzjg/czwmd/,2026-07,,,UNRESOLVED_CURRENT_ORG_TITLE,孙振东 is absent from the current Jul-2026 Jiangsu executive roster and Sep-2026 standing-committee roster. Targeted fresh public search did not establish a present organization/title with province + federation/history linkage; name-only hits were rejected.
604,FC2515-P10-R0303,江苏,303,李建,执委,HISTORICAL_SOURCE_IDENTITY_CURRENT_ROLE_UNRESOLVED,李建,"Checked the current Jul-2026 Jiangsu executive roster, the current Sep-2026 standing roster, repository duplicate/ambiguity state, and targeted fresh public evidence. No name-only employer/title assignment was permitted.",federation_official,A,江苏省工商业联合会第十二届执行委员会委员名单（2026年7月，共计338名）,https://www.jssh.org.cn/zzjg/czwmd/,2026-07,,,UNRESOLVED_CURRENT_ORG_TITLE,李建 is absent from the current Jul-2026 Jiangsu executive roster and Sep-2026 standing-committee roster. The name is highly non-unique (including unrelated current federation figures outside Jiangsu); no safe Jiangsu source-identity bridge closes a present organization/title.
605,FC2515-P10-R0310,江苏,310,李兰翔,执委,CURRENT_ROLE_CONFIRMED_WITH_ROLE_HISTORY_BRIDGE,李兰翔,ACFIC role-history evidence anchors 李兰翔 in the Jiangsu federation source identity; Sep-2026 Yancheng government evidence identifies the same person as 副市长. The stale federation role is not carried forward. Historical bridge: https://www.acfic.org.cn/gdgslgz/js/bjgslgz/202304/t20230426_280633.html,government_official,A,市政协九届六十七次主席会议召开,https://wap.yancheng.gov.cn/art/2026/9/4/art_49_4451545.html,2026-09-04,盐城市人民政府,副市长,CURRENT_ORG_TITLE_CONFIRMED,
606,FC2515-P10-R0315,江苏,315,李厚林,执委,CURRENT_ROLE_CONFIRMED_WITH_ROLE_HISTORY_BRIDGE,李厚林,"Yangzhou United Front history anchors 李厚林 as the prior 市工商联党组书记; 2026 CPPCC evidence identifies him as 扬州市政协经济科技委员会主任. Role history, not name-only matching, closes identity. Historical bridge: https://www.jstz.gov.cn/a/20250317/1742175919732.shtml",government_official,A,企业敢说话 部门真回应——江苏扬州市政协‘扬企有话讲’政企协商平台汇众智解难题,https://www.cppcc.gov.cn/zxww/2026/04/20/ARTI1776648774943124.shtml,2026-04-20,扬州市政协,经济科技委员会主任,CURRENT_ORG_TITLE_CONFIRMED,
607,FC2515-P10-R0317,江苏,317,李晓冬,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李晓冬,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
608,FC2515-P10-R0318,江苏,318,李晓林,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李晓林,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会 / 江苏省总商会,副主席 / 副会长（兼）,CURRENT_ORG_TITLE_CONFIRMED,
609,FC2515-P10-R0319,江苏,319,李海斌,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李海斌,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
610,FC2515-P10-R0321,江苏,321,李焕军,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李焕军,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
611,FC2515-P10-R0323,江苏,323,李瑞华,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李瑞华,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
612,FC2515-P10-R0325,江苏,325,杨永岗,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,杨永岗,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
613,FC2515-P10-R0329,江苏,329,肖伟,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,肖伟,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会 / 江苏省总商会,副主席,CURRENT_ORG_TITLE_CONFIRMED,
614,FC2515-P10-R0331,江苏,331,吴强,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴强,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省工商业联合会,常务委员,CURRENT_ORG_TITLE_CONFIRMED,
615,FC2515-P10-R0333,江苏,333,吴毅,执委,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,吴毅,Name + 江苏 source scope + federation-role history reconcile to the official Sep-2026 standing-committee roster. A current higher federation/chamber role supersedes the stale source 执委 label; no name-only inference.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年9月，共计120人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-09,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
